Datetime,Open,High,Low,Close,Volume
2026-01-05 09:30:00,100.0,100.15,99.85000000000001,100.0,2000
2026-01-05 09:45:00,100.0,100.21042063961673,99.85000000000001,100.06033014440013,1997
2026-01-05 10:00:00,100.06033014440013,100.27006190892257,99.91023964918354,100.11988208579388,1990
2026-01-05 10:15:00,100.11988208579388,100.32815659941966,99.9697022626652,100.17788976477249,1977
2026-01-05 10:30:00,100.17788976477249,100.38396163645521,100.02762293012533,100.23361121962577,1960
2026-01-05 10:45:00,100.23361121962577,100.43676967465292,100.08326080279633,100.28634016440631,1938
2026-01-05 11:00:00,100.28634016440631,100.48592013580091,100.1359106541597,100.33541701028548,1912
2026-01-05 11:15:00,100.33541701028548,100.53080951695391,100.18491388477005,100.38023915821658,1882
2026-01-05 11:30:00,100.38023915821658,100.57090080789479,100.22966879947926,100.42027040229135,1848
2026-01-05 11:45:00,100.42027040229135,100.60573187099945,100.26963999668791,100.45504929705386,1810
2026-01-05 12:00:00,100.45504929705386,100.6349226527398,100.30436672310829,100.4841963582025,1770
2026-01-05 12:15:00,100.4841963582025,100.658181114292,100.3334700636652,100.50741998431553,1726
2026-01-05 12:30:00,100.50741998431553,100.67530778870474,100.35665885433906,100.52452100719394,1681
2026-01-05 12:45:00,100.52452100719394,100.68619889351397,100.37373422568315,100.53539579981425,1633
2026-01-05 13:00:00,100.53539579981425,100.69084795023402,100.38459270611453,100.54003789339392,1584
2026-01-05 13:15:00,100.54003789339392,100.69084795023402,100.38773027121675,100.53853807833426,1535
2026-01-05 13:30:00,100.53853807833426,100.68934588545176,100.38028636298549,100.53108298746668,1485
2026-01-05 13:45:00,100.53108298746668,100.68187961194788,100.36717525543426,100.51795218370982,1435
2026-01-05 14:00:00,100.51795218370982,100.6687291119854,100.34876452688725,100.49951379758362,1386
2026-01-05 14:15:00,100.49951379758362,100.65026306828,100.3255044544818,100.47621878265578,1338
2026-01-05 14:30:00,100.47621878265578,100.62693311082977,100.29792098774425,100.4485938785621,1291
2026-01-05 14:45:00,100.4485938785621,100.59926676937994,100.26660754132344,100.41723339141055,1247
2026-01-05 15:00:00,100.41723339141055,100.56785924149767,100.23221573495375,100.3827899198335,1205
2026-01-05 15:15:00,100.3827899198335,100.53336410471326,100.19544522514686,100.34596417140395,1166
2026-01-05 15:30:00,100.34596417140395,100.49648311766106,100.15703278728606,100.30749402832855,1131
2026-01-05 15:45:00,100.30749402832855,100.45795526937104,100.1177408184928,100.26814303304236,1099
2026-01-05 16:00:00,100.26814303304236,100.41854524759194,100.07834544067455,100.22868847338462,1071
2026-01-05 16:15:00,100.22868847338462,100.3790315060947,100.03962438940196,100.18990925328188,1047
